Code postal;Numéro;Implantation;Précision de l’implantation;Date de mise en service;lon;lat
75010;51230;Quai de Valmy, rue Lucien Sampaix, rue Recollet;croisement;17/02/12;2.3628134;48.8744553
75014;51743;Avenue de la Porte d'Orléans, place du 25 août 1944;croisement;04/05/12;2.3253913;48.8219121
75016;51930;Avenue Georges Mandel, rue Decamps;croisement;10/08/12;2.279454;48.8639065
75007;52217;Avenue de Suffren, avenue Joseph Bouvard;croisement;13/01/12;2.2956351;48.85453905
75018;52236;Rue Poulet, rue Dejean;croisement;#N/A;2.3500237;48.8875461
75017;52599;Avenue Carnot, rue de Tilsitt;croisement;31/08/12;2.2938821;48.8750466
75018;52675;Rue Polonceau, rue des Gardes;croisement;25/05/12;2.3529732;48.8857038
75005;53322;Boulevard Saint-Germain, rue Saint-Jacques;croisement;21/12/12;2.34552285;48.85080445
75013;53448;Avenue des Gobelins, boulevard Saint- Marcel;croisement;01/06/12;2.3518495;48.836787
75015;53526;Rue de la Croix Nivert, rue Desnouettes;croisement;22/06/12;2.2896988;48.8358091
75011;53843;Boulevard Richard Lenoir, rue Saint-Sabin;croisement;27/07/12;2.37050115;48.8567871
75014;54552;Rue Vercingétorix, rue d'Alésia;croisement;06/07/12;2.3115283;48.83274144
75016;55054;Rue du Ranelagh, avenue du Président Kennedy;croisement;04/05/12;2.2806685;48.8527069
75019;55255;Avenue de la Porte Chaumont, boulevard d'Indochine;croisement;01/02/13;2.39643815;48.886202775
75020;55360;Boulevard de Charonne, avenue de Taillebourg;croisement;29/06/12;2.39857985;48.8502833
75007;55428;Avenue de Tourville, avenue de Ségur;croisement;17/02/12;2.3122009;48.8538192
75009;55431;Rue Drouot, rue Rossini;croisement;03/02/12;2.340456;48.8728349
75010;55825;Boulevard de Strasbourg, rue du Château d'Eau;croisement;28/09/12;2.3558801;48.8722812
75007;56154;Avenue de Tourville, avenue de Villars;croisement;10/02/12;2.3127196;48.8537923
